sku_id,sku_code,sku_name,brand,category_id,subcategory_id,supplier_id,pack_size,units_per_case,cases_per_pallet,pallet_weight_kg,unit_price_zar,case_price_zar,shelf_life_days,requires_chilled,requires_frozen,is_own_label,status
50,SKU000050,Oh My Goodness! Coffee 500g,Oh My Goodness!,1,13,80,500g,12,87,1296.3,37.98,455.76,,N,N,Y,ACTIVE
51,SKU000051,Premium Tea Tea 5kg,Premium Tea,1,12,61,5kg,4,63,1052.1,73.53,294.12,,N,N,N,ACTIVE
52,SKU000052,Ace Super Maize Coffee 10kg,Ace Super Maize,1,13,49,10kg,2,95,1634.0,77.52,155.04,,N,N,N,ACTIVE
53,SKU000053,Ritebrand Sauces & Condiments 10kg,Ritebrand,1,10,79,10kg,2,87,939.6,102.21,204.42,,N,N,Y,ACTIVE
54,SKU000054,Ritebrand Flour 5kg,Ritebrand,1,3,79,5kg,4,88,528.0,42.22,168.88,,N,N,Y,ACTIVE
55,SKU000055,Supreme Spices Spices & Herbs 10kg,Supreme Spices,1,11,38,10kg,2,91,582.4,80.81,161.62,,N,N,N,ACTIVE
56,SKU000056,Signature Sugar Sugar 2kg,Signature Sugar,1,4,38,2kg,6,80,264.0,108.77,652.62,,N,N,N,ACTIVE
57,SKU000057,Royal Tea Tea 1kg,Royal Tea,1,12,30,1kg,10,64,467.2,58.56,585.6,,N,N,N,ACTIVE
58,SKU000058,Royal Sugar Sugar 5kg,Royal Sugar,1,4,48,5kg,4,61,866.2,104.96,419.84,,N,N,N,ACTIVE
59,SKU000059,Illovo Sugar Beans & Pulses 5kg,Illovo Sugar,1,6,39,5kg,4,86,1186.8,71.51,286.04,,N,N,N,ACTIVE
60,SKU000060,Kalahari Sugar Sugar 1kg,Kalahari Sugar,1,4,50,1kg,10,77,192.5,60.76,607.6,,N,N,N,ACTIVE
61,SKU000061,Tastic Coffee 1kg,Tastic,1,13,47,1kg,10,89,1575.3,111.55,1115.5,,N,N,N,ACTIVE
62,SKU000062,Lucky Star Canned Vegetables 10kg,Lucky Star,1,7,63,10kg,2,61,542.9,23.81,47.62,,N,N,N,ACTIVE
63,SKU000063,Umhlanga Flour Flour 2kg,Umhlanga Flour,1,3,3,2kg,6,84,781.2,49.37,296.22,,N,N,N,ACTIVE
64,SKU000064,Tongaat Hulett Sugar Canned Vegetables 5kg,Tongaat Hulett Sugar,1,7,38,5kg,4,76,722.0,102.67,410.68,,N,N,N,ACTIVE
65,SKU000065,Sasko Rice 1kg,Sasko,1,1,46,1kg,10,64,793.6,97.03,970.3,,N,N,N,ACTIVE
66,SKU000066,Classic Sugar Sugar 500g,Classic Sugar,1,4,32,500g,12,69,662.4,40.05,480.6,,N,N,N,ACTIVE
67,SKU000067,Crown National Canned Fish 2kg,Crown National,1,8,67,2kg,6,83,971.1,32.62,195.72,,N,N,N,ACTIVE
68,SKU000068,Oh My Goodness! Pasta 1kg,Oh My Goodness!,1,2,80,1kg,10,79,189.6,26.35,263.5,,N,N,Y,ACTIVE
69,SKU000069,Lucky Star Cooking Oil 5kg,Lucky Star,1,5,63,5kg,4,85,442.0,113.85,455.4,,N,N,N,ACTIVE
70,SKU000070,Robertsons Breakfast Cereal 1kg,Robertsons,1,14,65,1kg,10,66,448.8,88.21,882.1,,N,N,N,ACTIVE
71,SKU000071,Savannah Coffee Coffee 10kg,Savannah Coffee,1,13,14,10kg,2,62,551.8,51.46,102.92,,N,N,N,ACTIVE
72,SKU000072,Freddy Hirsch Spices & Herbs 500g,Freddy Hirsch,1,11,40,500g,12,86,318.2,101.34,1216.08,,N,N,N,ACTIVE
73,SKU000073,Ace Super Maize Spices & Herbs 1kg,Ace Super Maize,1,11,49,1kg,10,87,896.1,33.49,334.9,,N,N,N,ACTIVE
74,SKU000074,Zulu Sauces Sauces & Condiments 5kg,Zulu Sauces,1,10,62,5kg,4,89,1219.3,60.74,242.96,,N,N,N,ACTIVE
75,SKU000075,RCL Foods Sugar 2kg,RCL Foods,1,4,4,2kg,6,88,827.2,40.61,243.66,,N,N,N,ACTIVE
76,SKU000076,Highveld Canned Canned Vegetables 500g,Highveld Canned,1,7,40,500g,12,91,445.9,104.35,1252.2,,N,N,N,ACTIVE
77,SKU000077,Classic Cooking Cooking Oil 2kg,Classic Cooking,1,5,40,2kg,6,77,793.1,73.36,440.16,,N,N,N,ACTIVE
78,SKU000078,Iwisa Tea 5kg,Iwisa,1,12,48,5kg,4,95,1235.0,94.61,378.44,,N,N,N,ACTIVE
79,SKU000079,Kalahari Canned Canned Fish 500g,Kalahari Canned,1,8,49,500g,12,65,552.5,45.89,550.68,,N,N,N,ACTIVE
80,SKU000080,Sasko Sauces & Condiments 5kg,Sasko,1,10,46,5kg,4,95,836.0,70.75,283.0,,N,N,N,ACTIVE
81,SKU000081,Sasko Beans & Pulses 5kg,Sasko,1,6,46,5kg,4,77,438.9,47.2,188.8,,N,N,N,ACTIVE
82,SKU000082,Table Mountain Beans Beans & Pulses 10kg,Table Mountain Beans,1,6,14,10kg,2,71,979.8,35.11,70.22,,N,N,N,ACTIVE
83,SKU000083,Heritage Coffee Coffee 10kg,Heritage Coffee,1,13,61,10kg,2,78,1193.4,117.95,235.9,,N,N,N,ACTIVE
84,SKU000084,Supreme Flour Flour 500g,Supreme Flour,1,3,39,500g,12,94,253.8,28.29,339.48,,N,N,N,ACTIVE
85,SKU000085,Ubuntu Tea Tea 5kg,Ubuntu Tea,1,12,30,5kg,4,66,739.2,106.64,426.56,,N,N,N,ACTIVE
86,SKU000086,Foodcorp Beans & Pulses 500g,Foodcorp,1,6,31,500g,12,76,729.6,113.81,1365.72,,N,N,N,ACTIVE
87,SKU000087,Table Mountain Canned Canned Vegetables 500g,Table Mountain Canned,1,7,50,500g,12,96,278.4,81.09,973.08,,N,N,N,ACTIVE
88,SKU000088,RCL Foods Cooking Oil 1kg,RCL Foods,1,5,4,1kg,10,67,582.9,73.6,736.0,,N,N,N,ACTIVE
89,SKU000089,Rhodes Food Group Sauces & Condiments 10kg,Rhodes Food Group,1,10,36,10kg,2,84,764.4,62.3,124.6,,N,N,N,ACTIVE
90,SKU000090,Illovo Sugar Canned Vegetables 10kg,Illovo Sugar,1,7,39,10kg,2,63,869.4,79.01,158.02,,N,N,N,ACTIVE
91,SKU000091,Gold Sugar Sugar 1kg,Gold Sugar,1,4,65,1kg,10,76,342.0,84.34,843.4,,N,N,N,ACTIVE
92,SKU000092,Supreme Flour Flour 5kg,Supreme Flour,1,3,1,5kg,4,88,836.0,87.38,349.52,,N,N,N,ACTIVE
93,SKU000093,Illovo Sugar Tea 5kg,Illovo Sugar,1,12,39,5kg,4,64,1075.2,87.18,348.72,,N,N,N,ACTIVE
94,SKU000094,Supreme Spices Spices & Herbs 1kg,Supreme Spices,1,11,63,1kg,10,87,487.2,27.05,270.5,,N,N,N,ACTIVE
95,SKU000095,Premier Foods Breakfast Cereal 500g,Premier Foods,1,14,30,500g,12,63,434.7,32.42,389.04,,N,N,N,ACTIVE
96,SKU000096,Supreme Sauces Sauces & Condiments 5kg,Supreme Sauces,1,10,39,5kg,4,67,462.3,64.21,256.84,,N,N,N,ACTIVE
97,SKU000097,Heritage Canned Canned Fruit 5kg,Heritage Canned,1,9,62,5kg,4,88,228.8,23.45,93.8,,N,N,N,ACTIVE
98,SKU000098,Tongaat Hulett Sugar Sauces & Condiments 500g,Tongaat Hulett Sugar,1,10,38,500g,12,65,832.0,39.04,468.48,,N,N,N,ACTIVE
99,SKU000099,Kalahari Sauces Sauces & Condiments 2kg,Kalahari Sauces,1,10,1,2kg,6,96,1353.6,19.22,115.32,,N,N,N,ACTIVE
100,SKU000100,Heritage Canned Canned Fish 1kg,Heritage Canned,1,8,38,1kg,10,87,861.3,81.65,816.5,,N,N,N,ACTIVE
101,SKU000101,Freddy Hirsch Canned Vegetables 2kg,Freddy Hirsch,1,7,40,2kg,6,66,481.8,105.06,630.36,,N,N,N,ACTIVE
102,SKU000102,Gold Cooking Cooking Oil 5kg,Gold Cooking,1,5,66,5kg,4,95,323.0,18.85,75.4,,N,N,N,ACTIVE
103,SKU000103,Classic Coffee Coffee 10kg,Classic Coffee,1,13,47,10kg,2,60,642.0,84.05,168.1,,N,N,N,ACTIVE
104,SKU000104,Savannah Canned Canned Fruit 10kg,Savannah Canned,1,9,46,10kg,2,91,1292.2,80.67,161.34,,N,N,N,ACTIVE
105,SKU000105,Illovo Sugar Flour 5kg,Illovo Sugar,1,3,39,5kg,4,91,1601.6,27.75,111.0,,N,N,N,ACTIVE
106,SKU000106,Zulu Sugar Sugar 1kg,Zulu Sugar,1,4,67,1kg,10,79,853.2,72.84,728.4,,N,N,N,ACTIVE
107,SKU000107,Ace Super Maize Pasta 500g,Ace Super Maize,1,2,49,500g,12,69,931.5,67.33,807.96,,N,N,N,ACTIVE
108,SKU000108,Umhlanga Cooking Cooking Oil 5kg,Umhlanga Cooking,1,5,48,5kg,4,90,972.0,40.59,162.36,,N,N,N,ACTIVE
109,SKU000109,Umhlanga Sauces Sauces & Condiments 1kg,Umhlanga Sauces,1,10,61,1kg,10,64,934.4,44.01,440.1,,N,N,N,ACTIVE
110,SKU000110,Koo Coffee 2kg,Koo,1,13,61,2kg,6,60,408.0,44.7,268.2,,N,N,N,ACTIVE
111,SKU000111,White Star Spices & Herbs 1kg,White Star,1,11,50,1kg,10,88,660.0,71.55,715.5,,N,N,N,ACTIVE
112,SKU000112,Signature Canned Canned Fruit 5kg,Signature Canned,1,9,47,5kg,4,80,1416.0,106.31,425.24,,N,N,N,ACTIVE
113,SKU000113,Oh My Goodness! Sugar 5kg,Oh My Goodness!,1,4,80,5kg,4,62,595.2,48.41,193.64,,N,N,Y,ACTIVE
114,SKU000114,Tastic Coffee 5kg,Tastic,1,13,47,5kg,4,69,179.4,67.01,268.04,,N,N,N,ACTIVE
115,SKU000115,Premium Sauces Sauces & Condiments 500g,Premium Sauces,1,10,40,500g,12,88,1460.8,25.47,305.64,,N,N,N,ACTIVE
116,SKU000116,Cape Canned Canned Vegetables 1kg,Cape Canned,1,7,65,1kg,10,64,1120.0,64.3,643.0,,N,N,N,ACTIVE
117,SKU000117,Heritage Canned Canned Vegetables 500g,Heritage Canned,1,7,65,500g,12,81,1271.7,104.5,1254.0,,N,N,N,ACTIVE
118,SKU000118,Crown National Spices & Herbs 5kg,Crown National,1,11,67,5kg,4,94,291.4,18.77,75.08,,N,N,N,ACTIVE
119,SKU000119,Rhodes Food Group Cooking Oil 500g,Rhodes Food Group,1,5,36,500g,12,87,1235.4,117.73,1412.76,,N,N,N,ACTIVE
120,SKU000120,Ace Super Maize Pasta 1kg,Ace Super Maize,1,2,49,1kg,10,79,213.3,109.86,1098.6,,N,N,N,ACTIVE
121,SKU000121,Sasko Cooking Oil 2kg,Sasko,1,5,46,2kg,6,87,913.5,30.28,181.68,,N,N,N,ACTIVE
122,SKU000122,Foodcorp Coffee 1kg,Foodcorp,1,13,31,1kg,10,71,1128.9,23.29,232.9,,N,N,N,ACTIVE
123,SKU000123,Kalahari Sugar Sugar 10kg,Kalahari Sugar,1,4,50,10kg,2,69,841.8,39.38,78.76,,N,N,N,ACTIVE
124,SKU000124,Table Mountain Rice Rice 2kg,Table Mountain Rice,1,1,49,2kg,6,94,855.4,31.59,189.54,,N,N,N,ACTIVE
125,SKU000125,Robertsons Cooking Oil 5kg,Robertsons,1,5,65,5kg,4,76,516.8,62.97,251.88,,N,N,N,ACTIVE
126,SKU000126,Cape Breakfast Breakfast Cereal 500g,Cape Breakfast,1,14,50,500g,12,75,577.5,55.04,660.48,,N,N,N,ACTIVE
127,SKU000127,Tiger Brands Cooking Oil 5kg,Tiger Brands,1,5,1,5kg,4,77,1216.6,15.85,63.4,,N,N,N,ACTIVE
128,SKU000128,Hinds Rice 5kg,Hinds,1,1,64,5kg,4,78,444.6,96.45,385.8,,N,N,N,ACTIVE
129,SKU000129,Robertsons Sugar 1kg,Robertsons,1,4,65,1kg,10,76,1026.0,86.17,861.7,,N,N,N,ACTIVE
130,SKU000130,Premier Foods Breakfast Cereal 500g,Premier Foods,1,14,30,500g,12,62,564.2,47.44,569.28,,N,N,N,ACTIVE
131,SKU000131,Highveld Tea Tea 500g,Highveld Tea,1,12,30,500g,12,78,670.8,49.31,591.72,,N,N,N,ACTIVE
132,SKU000132,Zulu Canned Canned Fruit 10kg,Zulu Canned,1,9,46,10kg,2,92,1407.6,110.92,221.84,,N,N,N,ACTIVE
133,SKU000133,Illovo Sugar Canned Fish 2kg,Illovo Sugar,1,8,39,2kg,6,67,214.4,64.17,385.02,,N,N,N,ACTIVE
134,SKU000134,Savannah Sugar Sugar 5kg,Savannah Sugar,1,4,66,5kg,4,95,1396.5,53.41,213.64,,N,N,N,ACTIVE
135,SKU000135,Ace Super Maize Pasta 2kg,Ace Super Maize,1,2,49,2kg,6,76,1155.2,76.38,458.28,,N,N,N,ACTIVE
136,SKU000136,Knorr SA Pasta 1kg,Knorr SA,1,2,66,1kg,10,90,1449.0,17.63,176.3,,N,N,N,ACTIVE
137,SKU000137,Premium Sauces Sauces & Condiments 500g,Premium Sauces,1,10,36,500g,12,89,605.2,110.49,1325.88,,N,N,N,ACTIVE
138,SKU000138,Pioneer Foods Rice 2kg,Pioneer Foods,1,1,3,2kg,6,91,527.8,27.19,163.14,,N,N,N,ACTIVE
139,SKU000139,Signature Canned Canned Vegetables 2kg,Signature Canned,1,7,49,2kg,6,94,1306.6,59.01,354.06,,N,N,N,ACTIVE
140,SKU000140,Kellogg SA Spices & Herbs 5kg,Kellogg SA,1,11,14,5kg,4,86,559.0,113.6,454.4,,N,N,N,ACTIVE
141,SKU000141,Ace Super Maize Sugar 5kg,Ace Super Maize,1,4,49,5kg,4,75,270.0,104.82,419.28,,N,N,N,ACTIVE
142,SKU000142,Zulu Canned Canned Fruit 2kg,Zulu Canned,1,9,65,2kg,6,63,315.0,56.8,340.8,,N,N,N,ACTIVE
143,SKU000143,Highveld Breakfast Breakfast Cereal 500g,Highveld Breakfast,1,14,49,500g,12,73,846.8,82.38,988.56,,N,N,N,ACTIVE
144,SKU000144,Rhodes Food Group Beans & Pulses 1kg,Rhodes Food Group,1,6,36,1kg,10,96,1468.8,36.55,365.5,,N,N,N,ACTIVE
145,SKU000145,Libstar Sauces & Condiments 1kg,Libstar,1,10,32,1kg,10,81,1182.6,96.31,963.1,,N,N,N,ACTIVE
146,SKU000146,Premier Foods Cooking Oil 1kg,Premier Foods,1,5,30,1kg,10,94,451.2,41.32,413.2,,N,N,N,ACTIVE
147,SKU000147,Premium Rice Rice 500g,Premium Rice,1,1,30,500g,12,82,475.6,97.95,1175.4,,N,N,N,ACTIVE
148,SKU000148,Highveld Cooking Cooking Oil 1kg,Highveld Cooking,1,5,3,1kg,10,86,1195.4,70.24,702.4,,N,N,N,ACTIVE
149,SKU000149,Koo Beans & Pulses 10kg,Koo,1,6,61,10kg,2,66,363.0,62.46,124.92,,N,N,N,ACTIVE
150,SKU000150,Ubuntu Tea Tea 10kg,Ubuntu Tea,1,12,66,10kg,2,79,1374.6,63.09,126.18,,N,N,N,ACTIVE
151,SKU000151,Gold Breakfast Breakfast Cereal 5kg,Gold Breakfast,1,14,47,5kg,4,66,1095.6,66.48,265.92,,N,N,N,ACTIVE
152,SKU000152,Hinds Beans & Pulses 1kg,Hinds,1,6,64,1kg,10,64,768.0,28.25,282.5,,N,N,N,ACTIVE
153,SKU000153,Highveld Tea Tea 5kg,Highveld Tea,1,12,40,5kg,4,93,939.3,45.96,183.84,,N,N,N,ACTIVE
154,SKU000154,Zulu Tea Tea 10kg,Zulu Tea,1,12,14,10kg,2,73,1182.6,60.16,120.32,,N,N,N,ACTIVE
155,SKU000155,Premium Canned Canned Fish 5kg,Premium Canned,1,8,47,5kg,4,66,462.0,47.82,191.28,,N,N,N,ACTIVE
156,SKU000156,Cape Spices Spices & Herbs 500g,Cape Spices,1,11,50,500g,12,65,227.5,102.34,1228.08,,N,N,N,ACTIVE
157,SKU000157,Gold Beans Beans & Pulses 10kg,Gold Beans,1,6,30,10kg,2,63,693.0,76.58,153.16,,N,N,N,ACTIVE
158,SKU000158,Table Mountain Canned Canned Vegetables 5kg,Table Mountain Canned,1,7,46,5kg,4,63,730.8,116.68,466.72,,N,N,N,ACTIVE
159,SKU000159,Libstar Canned Fruit 1kg,Libstar,1,9,32,1kg,10,90,333.0,38.55,385.5,,N,N,N,ACTIVE
160,SKU000160,Kellogg SA Beans & Pulses 2kg,Kellogg SA,1,6,14,2kg,6,96,854.4,38.75,232.5,,N,N,N,ACTIVE
161,SKU000161,Hinds Coffee 10kg,Hinds,1,13,64,10kg,2,95,1605.5,17.76,35.52,,N,N,N,ACTIVE
162,SKU000162,Royal Cooking Cooking Oil 1kg,Royal Cooking,1,5,1,1kg,10,77,531.3,88.78,887.8,,N,N,N,ACTIVE
163,SKU000163,Premier Foods Flour 10kg,Premier Foods,1,3,30,10kg,2,85,1181.5,22.31,44.62,,N,N,N,ACTIVE
164,SKU000164,Ritebrand Pasta 10kg,Ritebrand,1,2,79,10kg,2,73,678.9,54.5,109.0,,N,N,Y,ACTIVE
165,SKU000165,Royal Flour Flour 2kg,Royal Flour,1,3,46,2kg,6,80,888.0,96.57,579.42,,N,N,N,ACTIVE
166,SKU000166,Foodcorp Flour 10kg,Foodcorp,1,3,31,10kg,2,63,403.2,85.77,171.54,,N,N,N,ACTIVE
167,SKU000167,Signature Canned Canned Fish 5kg,Signature Canned,1,8,64,5kg,4,86,1212.6,43.68,174.72,,N,N,N,ACTIVE
168,SKU000168,Table Mountain Pasta Pasta 10kg,Table Mountain Pasta,1,2,39,10kg,2,91,627.9,70.33,140.66,,N,N,N,ACTIVE
169,SKU000169,Tiger Brands Rice 1kg,Tiger Brands,1,1,1,1kg,10,79,1129.7,114.26,1142.6,,N,N,N,ACTIVE
170,SKU000170,Savannah Cooking Cooking Oil 500g,Savannah Cooking,1,5,40,500g,12,60,534.0,67.23,806.76,,N,N,N,ACTIVE
171,SKU000171,Zulu Tea Tea 10kg,Zulu Tea,1,12,36,10kg,2,95,1415.5,102.5,205.0,,N,N,N,ACTIVE
172,SKU000172,Signature Tea Tea 5kg,Signature Tea,1,12,3,5kg,4,61,195.2,63.27,253.08,,N,N,N,ACTIVE
173,SKU000173,Highveld Sauces Sauces & Condiments 5kg,Highveld Sauces,1,10,47,5kg,4,78,179.4,27.09,108.36,,N,N,N,ACTIVE
174,SKU000174,Signature Sauces Sauces & Condiments 2kg,Signature Sauces,1,10,49,2kg,6,65,240.5,60.85,365.1,,N,N,N,ACTIVE
175,SKU000175,RCL Foods Canned Fruit 5kg,RCL Foods,1,9,4,5kg,4,79,434.5,93.31,373.24,,N,N,N,ACTIVE
176,SKU000176,Cape Pasta Pasta 500g,Cape Pasta,1,2,61,500g,12,93,1534.5,68.54,822.48,,N,N,N,ACTIVE
177,SKU000177,Premium Breakfast Breakfast Cereal 1kg,Premium Breakfast,1,14,65,1kg,10,75,457.5,25.79,257.9,,N,N,N,ACTIVE
178,SKU000178,Oh My Goodness! Coffee 500g,Oh My Goodness!,1,13,80,500g,12,71,852.0,114.89,1378.68,,N,N,Y,ACTIVE
179,SKU000179,Oh My Goodness! Canned Fish 10kg,Oh My Goodness!,1,8,80,10kg,2,88,1416.8,86.52,173.04,,N,N,Y,ACTIVE
180,SKU000180,Gold Spices Spices & Herbs 10kg,Gold Spices,1,11,65,10kg,2,80,960.0,105.75,211.5,,N,N,N,ACTIVE
181,SKU000181,Ubuntu Canned Canned Fish 2kg,Ubuntu Canned,1,8,49,2kg,6,77,585.2,77.1,462.6,,N,N,N,ACTIVE
182,SKU000182,Pioneer Foods Canned Fish 500g,Pioneer Foods,1,8,3,500g,12,83,265.6,102.33,1227.96,,N,N,N,ACTIVE
183,SKU000183,RCL Foods Breakfast Cereal 10kg,RCL Foods,1,14,4,10kg,2,92,1039.6,55.37,110.74,,N,N,N,ACTIVE
184,SKU000184,Premium Tea Tea 5kg,Premium Tea,1,12,3,5kg,4,96,681.6,83.44,333.76,,N,N,N,ACTIVE
185,SKU000185,Ace Super Maize Rice 500g,Ace Super Maize,1,1,49,500g,12,81,267.3,118.15,1417.8,,N,N,N,ACTIVE
186,SKU000186,Umhlanga Rice Rice 5kg,Umhlanga Rice,1,1,36,5kg,4,88,1038.4,70.03,280.12,,N,N,N,ACTIVE
